No.,fecha,ID,tmin,tseca,tmax,nub,vel_viento,dir_viento,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-03-24,INS040301CV,13.0,22.8,31.8,2.0,1.7,270.0,San Martín Jilotepeque,0.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
2,2025-03-25,INS040301CV,10.0,20.9,30.2,6.0,2.3,270.0,San Martín Jilotepeque,0.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
3,2025-03-26,INS040301CV,11.0,19.8,28.4,7.0,3.7,270.0,San Martín Jilotepeque,0.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
4,2025-03-27,INS040301CV,10.0,18.9,27.2,8.0,3.0,270.0,San Martín Jilotepeque,0.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
5,2025-03-28,INS040301CV,11.0,19.0,26.4,8.0,2.0,270.0,San Martín Jilotepeque,0.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
6,2025-03-29,INS040301CV,10.0,20.3,28.6,7.0,2.7,270.0,San Martín Jilotepeque,0.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
7,2025-03-30,INS040301CV,13.0,20.7,27.4,8.0,2.3,270.0,San Martín Jilotepeque,0.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
8,2025-03-31,INS040301CV,14.0,21.7,28.8,4.0,2.0,270.0,San Martín Jilotepeque,0.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
9,2025-04-01,INS040301CV,13.0,21.9,30.2,8.0,2.3,270.0,San Martín Jilotepeque,0.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
10,2025-04-02,INS040301CV,15.0,23.7,33.2,6.0,2.7,270.0,San Martín Jilotepeque,0.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
11,2025-04-03,INS040301CV,13.0,21.8,30.6,4.0,2.7,270.0,San Martín Jilotepeque,0.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
12,2025-04-04,INS040301CV,15.0,21.9,30.0,8.0,3.0,270.0,San Martín Jilotepeque,0.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
13,2025-04-05,INS040301CV,16.0,20.9,27.6,5.0,2.7,270.0,San Martín Jilotepeque,0.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
14,2025-04-06,INS040301CV,14.0,19.7,26.0,5.0,2.7,270.0,San Martín Jilotepeque,3.2,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
15,2025-04-07,INS040301CV,13.0,20.3,27.2,8.0,2.0,180.0,San Martín Jilotepeque,0.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
16,2025-04-08,INS040301CV,15.0,19.9,26.0,8.0,2.0,180.0,San Martín Jilotepeque,0.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
17,2025-04-09,INS040301CV,13.0,19.3,26.2,8.0,1.7,180.0,San Martín Jilotepeque,0.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
18,2025-04-10,INS040301CV,12.0,20.6,28.4,4.0,3.0,270.0,San Martín Jilotepeque,0.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
19,2025-04-11,INS040301CV,11.0,20.9,29.6,3.0,2.0,270.0,San Martín Jilotepeque,0.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
20,2025-04-12,INS040301CV,10.0,21.1,29.8,1.0,2.7,270.0,San Martín Jilotepeque,0.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
21,2025-04-13,INS040301CV,9.0,18.7,27.2,4.0,3.0,270.0,San Martín Jilotepeque,0.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
22,2025-04-14,INS040301CV,9.0,20.3,29.6,2.0,1.7,180.0,San Martín Jilotepeque,0.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
23,2025-04-15,INS040301CV,11.0,21.3,30.6,3.0,2.3,270.0,San Martín Jilotepeque,0.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
24,2025-04-16,INS040301CV,12.0,20.5,28.4,4.0,2.7,270.0,San Martín Jilotepeque,0.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
25,2025-04-17,INS040301CV,14.0,22.8,32.0,6.0,2.7,270.0,San Martín Jilotepeque,0.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
26,2025-04-18,INS040301CV,12.0,22.3,33.0,4.0,2.3,270.0,San Martín Jilotepeque,0.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
27,2025-04-19,INS040301CV,10.0,21.3,32.2,6.0,2.7,270.0,San Martín Jilotepeque,0.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
28,2025-04-20,INS040301CV,13.0,22.1,32.0,7.0,2.0,180.0,San Martín Jilotepeque,6.9,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
29,2025-04-21,INS040301CV,14.0,21.3,29.0,7.0,2.7,270.0,San Martín Jilotepeque,0.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
30,2025-04-22,INS040301CV,13.0,15.2,,8.0,1.0,180.0,San Martín Jilotepeque,,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
